יצרן,תאריך כניסה לזאפ,התאמה לגיימינג,מערכת הפעלה,משקל,סדרה,סוג מעבד,נפח זיכרון RAM,מהירות מעבד,דגם מעבד,דור מעבד,סוג הזכרון,כונן קשיח,מהירות כונן קשיח,כונן אופטי,גודל מסך,רזולוציית מסך,סוג מסך,קצב רענון תצוגה,מסך מגע,כרטיס מסך,אמצעי אבטחה,מצלמת רשת,חיבורים,רשת אלחוטית,מודם סלולארי,Page Number,מחיר,תוספת מחיר
Lenovo,2021,0,Windows  10,2.2,IdeaPad L3,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,Integrated Intel UHD Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,22.0,0.0530036779730282,0
Asus,2021,0,ללא,1.8,VivoBook 15,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,OLED,60.0,0,NVIDIA GeForce MX350,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,22.0,0.09495300367797303,0
Lenovo,2022,1,Windows 11 Home,2.45,Legion 5 Pro,AMD Ryzen 7,32.0,3200.0,5800H,4.0,4.0,1000,SSD,0,16.0,0.3730800576766347,IPS,165.0,0,NVIDIA GeForce RTX 3060,לא כולל,1 מגה פיקסל,"RJ-45 , DisplayPort , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,22.0,0.23868001634654679,0
Asus,2022,0,Windows 11 Home,1.6,לא רלוונטי,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,23.0,0.07693093583980384,0
Dell,2022,0,ללא,1.69,Vostro 3510,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , Card Reader , HDMI , Bluetooth",802.11ac,0,23.0,0.10408663669799754,0
Lenovo,2022,0,Windows 11 Pro,1.9,Yoga 7,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,IPS,60.0,1,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , Bluetooth , USB","WiFi 6 , 802.11ax",0,23.0,0.14288925214548426,750
Lenovo,2021,0,ללא,1.7,IdeaPad 3,Intel Pentium Silver,4.0,1100.0,N5030,5.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Integrated Intel UHD GRAPHICS 605,לא כולל,כולל,Bluetooth,802.11ac,0,23.0,0.01628524724152023,0
Lenovo,2021,0,ללא,1.26,ThinkBook 13s,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,13.3,0.15365807786345684,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Thunderbolt , HDMI , Bluetooth , USB",802.11ax,0,23.0,0.08085410706988148,0
Lenovo,2021,1,Windows 11 Home,2.45,Legion 5 Pro,AMD Ryzen 7,16.0,3200.0,5800H,4.0,4.0,512,SSD,0,16.0,0.3730800576766347,IPS,165.0,0,NVIDIA GeForce RTX 3060,לא כולל,1 מגה פיקסל,"RJ-45 , DisplayPort , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,23.0,0.2288107887208827,0
Lenovo,2022,1,ללא,2.25,IdeaPad Gaming 3,Intel Core i5,16.0,3100.0,11300H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,120.0,0,NVIDIA GeForce RTX 3050,לא כולל,1 מגה פיקסל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,23.0,0.1340008173273396,0
Lenovo,2021,0,Windows 10 PRO,1.47,ThinkPad P14s,Intel Core i7,16.0,4700.0,10510U,10.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,NVIDIA Quadro P520,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,0,23.0,0.21910502656313854,0
Asus,2022,0,ללא,1.45,ExpertBook B1,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,קורא טביעות אצבע,1 מגה פיקסל,"VGA , RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,23.0,0.05606865549652636,0
Dell,2022,0,Windows 11 Home,1.43,Vostro 5410,Intel Core i7,16.0,3400.0,11390H,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LED,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,23.0,0.16324070290151205,0
Dell,2022,0,Windows 11 Home,1.69,Vostro 3510,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,1 מגה פיקסל,Bluetooth,802.11ac,0,23.0,0.15510829587249694,0
Lenovo,2022,0,Windows 11 Pro,1.26,ThinkBook 13s,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,13.3,0.3730800576766347,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"DisplayPort , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,23.0,0.1101757253780139,0
Lenovo,2022,0,Windows 11 Home,1.5,IdeaPad Flex 5,AMD Ryzen 5,8.0,2100.0,5500U,4.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,1,Integrated AMD Radeon Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,23.0,0.09100939926440539,750
Asus,2021,0,Windows 10 PRO,0.88,ExpertBook B9,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel Iris X Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Thunderbolt , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,0,23.0,0.2339803841438496,0
Lenovo,2021,0,Windows 11 Home,1.4,Yoga 7,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,1000,SSD,0,14.0,0.1254466804589054,IPS,60.0,1,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , Bluetooth , USB",802.11ax,0,23.0,0.1943604413567634,750
HP,2021,0,Windows 10 PRO,1.74,ProBook 450,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"USB-C , Bluetooth",WiFi 6,0,23.0,0.1360032693093584,0
Lenovo,2021,0,Windows 11 Home,1.9,Yoga 7,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,60.0,1,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , Bluetooth , USB",802.11ax,0,23.0,0.17523498161013487,750
Dell,2021,0,Windows 10 PRO,1.52,Latitude 3420,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,קורא טביעות אצבע,כולל,"RJ-45 , DisplayPort , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,23.0,0.1123416428279526,0
Lenovo,2021,1,ללא,2.45,Legion 5 Pro,AMD Ryzen 7,16.0,3200.0,5800H,4.0,4.0,512,SSD,0,16.0,0.3730800576766347,IPS,165.0,0,NVIDIA GeForce RTX 3060,לא כולל,1 מגה פיקסל,"RJ-45 , DisplayPort , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,23.0,0.2081732733959951,0
Dell,2022,0,Windows 11 Pro,1.66,Vostro 5510,Intel Core i7,16.0,3400.0,11390H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LED,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,24.0,0.14695545565999182,0
Lenovo,2022,0,ללא,1.65,IdeaPad 3,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,NVIDIA GeForce MX350,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,24.0,0.08782182263996731,0
HP,2021,0,Windows 10 PRO,1.32,EliteBook x360,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,1,Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Thunderbolt , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,0,24.0,0.2993461381283204,750
Asus,2022,0,Windows 11 Home,1.8,VivoBook 15,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,24.0,0.08069064160196159,0
Lenovo,2022,0,Windows 11 Pro,1.5,IdeaPad Flex 5,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,1,NVIDIA GeForce MX450,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,24.0,0.16254597466285248,750
Asus,2022,0,Windows  10,1.8,לא רלוונטי,AMD Ryzen 3,8.0,2600.0,3250U,2.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,AMD Radeon  Graphics,לא כולל,כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,24.0,0.046240294237842254,0
Lenovo,2021,0,Windows 10 PRO,1.9,ThinkPad E15,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,Integrated Intel UHD Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,0,24.0,0.11618308132407029,0
Asus,2022,0,Windows 11 Home,1.62,ZenBook Duo 14,Intel Core i7,16.0,2900.0,1195G7,11.0,4.0,1000,SSD,0,14.0,0.1254466804589054,LCD,60.0,1,NVIDIA GeForce MX450,מצלמת IR,כולל,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth",802.11ax,0,24.0,0.27578667756436454,0
Asus,2022,0,ללא,1.73,ExpertBook B1,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"VGA , RJ-45 , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,24.0,0.08929301185124643,0
Asus,2022,0,Windows  10,2.0,TUF Dash F15,Intel Core i7,16.0,3300.0,11370H,11.0,4.0,1000,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,NVIDIA GeForce RTX 3050,לא כולל,לא כולל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,24.0,0.1829995913363302,0
Lenovo,2021,1,ללא,2.3,Legion 5 Pro,Intel Core i5,16.0,2700.0,11400H,11.0,4.0,512,SSD,0,16.0,0.3730800576766347,IPS,165.0,0,NVIDIA GeForce RTX 3050,לא כולל,1 מגה פיקסל,"RJ-45 , DisplayPort , Thunderbolt , אוזניות/מיקרופון , Bluetooth , USB",802.11ax,0,24.0,0.23680016346546792,0
Acer,2021,0,Windows  10,1.2,Swift 3,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,קורא טביעות אצבע,לא כולל,"DisplayPort , Thunderbolt , USB-C , HDMI , Bluetooth , USB","802.11a , 802.11g , 802.11n , 802.11ac , 802.11ax",0,24.0,0.1058438904781365,0
Lenovo,2021,1,Windows 11 Home,2.25,IdeaPad Gaming 3,Intel Core i7,16.0,3300.0,11370H,11.0,4.0,1000,SSD,0,15.6,0.1254466804589054,IPS,120.0,0,NVIDIA GeForce GTX 1650,לא כולל,1 מגה פיקסל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,24.0,0.17241520228851656,0
Lenovo,2021,0,Windows 10 PRO,1.55,ThinkPad P14s,AMD Ryzen 5,16.0,2300.0,5650U,4.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Integrated AMD Radeon Graphics,"מצלמת IR , קורא טביעות אצבע",1 מגה פיקסל,Bluetooth,802.11ax,0,24.0,0.17680833673886392,0
Lenovo,2021,1,Windows 11 Home,2.3,Legion 5 Pro,Intel Core i7,16.0,2300.0,11800H,11.0,4.0,1000,SSD,0,16.0,0.3730800576766347,IPS,165.0,0,NVIDIA GeForce RTX 3050,לא כולל,1 מגה פיקסל,"RJ-45 , DisplayPort , Thunderbolt , אוזניות/מיקרופון , Bluetooth , USB",802.11ax,0,24.0,0.23739272578667756,0
Lenovo,2021,0,Windows 10 PRO,1.64,ThinkPad E14,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , DisplayPort , Thunderbolt , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,0,24.0,0.1368205966489579,0
Dell,2021,0,Windows 11 Home,1.5,Inspiron 14,Intel Core i3,8.0,2000.0,1125G4,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,LCD,60.0,1,Intel Iris Xe Graphics,קורא טביעות אצבע,כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,0,24.0,0.09597466285247241,750
Lenovo,2022,0,ללא,1.65,IdeaPad 3,Intel Core i7,8.0,2800.0,1165G7,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,NVIDIA GeForce MX450,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,24.0,0.08091540662035145,0
Dell,2021,0,Windows 11 Home,1.73,Inspiron 3511,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LED,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"Card Reader , HDMI , Bluetooth , USB",802.11ac,0,24.0,0.05306497752349816,0
Lenovo,2021,0,Windows  10,1.5,ThinkBook,Intel Core i3,8.0,1200.0,1005G1,10.0,4.0,256,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Plus Graphics,לא כולל,כולל,"RJ-45 , USB-C , HDMI , Bluetooth , USB",802.11ac,0,24.0,0.05510829587249694,0
Lenovo,2021,0,Windows 10 PRO,1.28,ThinkPad T14s,Intel Core i7,32.0,2800.0,1165G7,11.0,4.0,1000,SSD,0,14.0,0.8871544103817942,IPS,60.0,0,Integrated Intel Iris Xe Graphics,מצלמת IR,1 מגה פיקסל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,0,24.0,0.2982223130363711,0
Lenovo,2021,0,ללא,1.65,IdeaPad 3,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Integrated Intel UHD Graphics,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,24.0,0.030608908868001633,0
Lenovo,2021,0,Windows 11 Home,1.9,Yoga 7,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,60.0,1,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , Bluetooth , USB",802.11ax,0,25.0,0.19818144666939108,750
Lenovo,2021,0,Windows 10 PRO,1.7,ThinkPad E15,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , DisplayPort , Thunderbolt , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,0,25.0,0.10089906007355946,0
Asus,2021,0,Windows  10,1.48,לא רלוונטי,Intel Core i3,8.0,2100.0,10110U,10.0,4.0,256,SSD,0,14.0,0.0,LCD,60.0,0,Intel UHD Graphics 620,לא כולל,כולל,"VGA , RJ-45 , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,0,25.0,0.05359624029423784,0
Lenovo,2021,0,Windows 10 PRO,1.55,ThinkPad P14s,AMD Ryzen 7,16.0,1900.0,5850U,4.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Integrated AMD Radeon Graphics,"מצלמת IR , קורא טביעות אצבע",1 מגה פיקסל,"RJ-45 , DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,25.0,0.16753167143440947,0
Asus,2022,0,ללא,2.0,TUF Dash F15,Intel Core i7,16.0,3300.0,11370H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,NVIDIA GeForce RTX 3050,לא כולל,לא כולל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,25.0,0.14940743767879036,0
Dell,2021,0,Windows 10 PRO,1.79,Precision 3561,Intel Core i7,16.0,2300.0,11800H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,NVIDIA T600,לא כולל,כולל,"RJ-45 , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",WiFi 6,0,25.0,0.26272987331426234,0
Lenovo,2022,0,ללא,1.65,IdeaPad 3,Intel Core i7,8.0,2800.0,1165G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,NVIDIA GeForce MX450,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,25.0,0.08878218226399673,0
Lenovo,2021,0,Windows 10 PRO,1.5,Flex 5,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,1,NVIDIA GeForce MX450,קורא טביעות אצבע,1 מגה פיקסל,"אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,0,25.0,0.16546791990192072,750
Asus,2022,0,Windows 11 Home,1.3,לא רלוונטי,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,13.3,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,מצלמת IR,כולל,"Thunderbolt , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,25.0,0.17740089906007356,750
Dell,2022,0,ללא,1.63,Vostro 5510,Intel Core i5,16.0,3200.0,11320H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , Thunderbolt , USB-C , HDMI , Bluetooth , USB",כולל,0,25.0,0.12968941561095218,0
Lenovo,2022,0,ללא,1.65,IdeaPad 3,Intel Core i7,8.0,2800.0,1165G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Integrated Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,25.0,0.07889252145484267,0
Lenovo,2021,1,ללא,2.4,Legion 5,Intel Core i5,16.0,2700.0,11400H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,NVIDIA GeForce GTX 1650,לא כולל,1 מגה פיקסל,"RJ-45 , DisplayPort , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,0,25.0,0.15482223130363712,0
HP,2021,0,Windows 10 PRO,1.32,EliteBook 840,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,1000,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Intel Iris X Graphics,לא כולל,1 מגה פיקסל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,0,25.0,0.2223334695545566,0
Dell,2022,0,ללא,1.69,Vostro 3510,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , Card Reader , HDMI , Bluetooth , USB",802.11ac,0,25.0,0.04401307723743359,0
Lenovo,2022,0,Windows 11 Home,1.32,Yoga 6,AMD Ryzen 5,16.0,2100.0,5500U,4.0,4.0,1000,SSD,0,13.3,0.1254466804589054,IPS,60.0,1,Integrated AMD Radeon Graphics,קורא טביעות אצבע,1 מגה פיקסל,"DisplayPort , אוזניות/מיקרופון , USB-C , Bluetooth , USB","WiFi 6 , 802.11ax",0,25.0,0.14985696771557008,750
Lenovo,2021,0,Windows  10,1.8,Flex 5,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,1000,SSD,0,15.6,0.8871544103817942,LCD,60.0,1,NVIDIA GeForce MX450,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,25.0,0.19611769513690233,750
Lenovo,2021,1,Windows 11 Home,2.3,Legion 5 Pro,Intel Core i5,16.0,2700.0,11400H,11.0,4.0,1000,SSD,0,16.0,0.3730800576766347,IPS,165.0,0,NVIDIA GeForce RTX 3050 Ti,לא כולל,1 מגה פיקסל,"RJ-45 , DisplayPort , Thunderbolt , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,0,25.0,0.21209644462607274,0
Lenovo,2021,0,Windows 11 Home,1.38,Yoga Slim 7,Intel Core i7,16.0,3300.0,11370H,11.0,4.0,512,SSD,0,14.0,0.5063005454203499,OLED,90.0,0,NVIDIA GeForce MX450,מצלמת IR,1 מגה פיקסל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , Bluetooth , USB",802.11ax,0,25.0,0.22672660400490396,0
Lenovo,2021,0,Windows 10 PRO,1.4,ThinkBook 14,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , DisplayPort , Thunderbolt , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,25.0,0.10845933796485492,0
Lenovo,2022,0,Windows  10,1.6,V14 G2,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Integrated Intel UHD Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , USB-C , HDMI , Bluetooth , USB",802.11ac,0,25.0,0.045790764201062525,0
Lenovo,2022,0,Windows 11 Pro,1.8,IdeaPad Flex 5,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,1000,SSD,0,15.6,0.1254466804589054,IPS,60.0,1,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,25.0,0.1674703718839395,750
Lenovo,2021,0,Windows 11 Home,2.1,IdeaPad 3,Intel Core i7,8.0,2800.0,1165G7,11.0,4.0,256,SSD,0,17.3,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,26.0,0.11436452799346138,0
Dell,2021,0,Windows 10 PRO,2.45,Precision M7560,Intel Core i7,16.0,2300.0,11800H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,NVIDIA RTX A2000,לא כולל,1 מגה פיקסל,"RJ-45 , DisplayPort , Thunderbolt , USB-C , HDMI , Bluetooth , USB",WiFi 6,0,26.0,0.3960155292194524,0
Dell,2021,0,ללא,1.42,Inspiron 5402,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LED,60.0,0,Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,26.0,0.09368614630159379,0
Lenovo,2021,0,Windows 11 Home,2.2,IdeaPad L3,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,1256,5400+SSD,1,15.6,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,26.0,0.08353085410706988,0
Lenovo,2022,0,ללא,1.65,IdeaPad 3,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,NVIDIA GeForce MX450,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,26.0,0.10743767879035554,0
Dell,2022,0,ללא,1.59,Latitude 5520,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,כולל,"RJ-45 , DisplayPort , Thunderbolt , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,26.0,0.13825091949325705,0
Lenovo,2022,0,ללא,1.38,IdeaPad 5 Pro,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.5063005454203499,IPS,90.0,0,Integrated Intel Iris Xe Graphics,מצלמת IR,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,26.0,0.09231712300776461,0
