יצרן,תאריך כניסה לזאפ,התאמה לגיימינג,מערכת הפעלה,משקל,סדרה,סוג מעבד,נפח זיכרון RAM,מהירות מעבד,דגם מעבד,דור מעבד,סוג הזכרון,כונן קשיח,מהירות כונן קשיח,כונן אופטי,גודל מסך,רזולוציית מסך,סוג מסך,קצב רענון תצוגה,מסך מגע,כרטיס מסך,אמצעי אבטחה,מצלמת רשת,חיבורים,רשת אלחוטית,מודם סלולארי,Page Number,מחיר,תוספת מחיר
Asus,2021,0,ChromeOS,1.0,לא רלוונטי,Intel Celeron,4.0,1100.0,N4020,4.0,4.0,32,eMMC,0,11.6,0.0,LCD,60.0,1,Intel UHD Graphics 600,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,2.0,0.02413158970167552,0
Lenovo,2021,0,ללא,1.7,ThinkBook 15,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,1000,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,0,2.0,0.10825500612995505,0
Lenovo,2021,0,ללא,1.9,ThinkPad E15,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,Integrated Intel UHD Graphics,לא כולל,1 מגה פיקסל,"Thunderbolt , HDMI , Bluetooth , USB",802.11ax,0,2.0,0.09409480997139354,0
Dell,2022,0,ללא,1.69,Vostro 3510,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , אוזניות/מיקרופון , Bluetooth , USB",כולל,0,2.0,0.07721700040866367,0
Lenovo,2021,0,ללא,1.6,לא רלוונטי,Intel Core i5,8.0,3600.0,1035G1,10.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Integrated Intel UHD Graphics,לא כולל,1 מגה פיקסל,"HDMI , Bluetooth , USB",802.11ac,0,2.0,0.0641601961585615,0
Lenovo,2022,0,Windows 11 Home,1.5,IdeaPad Flex 5,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,1,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,2.0,0.10159378831221905,750
Asus,2022,0,Windows 11 Home,1.4,ZenBook 14 Flip,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,1000,SSD,0,14.0,0.5063005454203499,OLED,60.0,1,Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,2.0,0.2202084184715979,750
Lenovo,2021,0,ללא,1.65,IdeaPad 3,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Integrated Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,2.0,0.06111565181855333,0
Asus,2022,0,ללא,1.6,לא רלוונטי,Intel Core i3,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,2.0,0.037535758071107476,0
Lenovo,2021,0,ללא,1.65,IdeaPad 3,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Integrated Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,2.0,0.05467919901920719,0
