ריחמ,דבעמ רוד,ןורכזה גוס,MAR ןורכיז חפנ,גנימייגל המאתה,חישק ןנוכ,הגוצת ןונער בצק,עגמ ךסמ,ךסמ לדוג,ךסמ תייצולוזר,יראלולס םדומ
0.042031058438904784,11.0,4.0,8.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.1481610134859011,11.0,4.0,16.0,0,512,60.0,1,14.0,0.1254466804589054,0
0.17470371883939517,11.0,4.0,16.0,1,512,144.0,0,15.6,0.1254466804589054,0
0.08058847568451165,11.0,4.0,8.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.0465059256232121,11.0,4.0,4.0,0,256,60.0,0,15.6,0.1254466804589054,0
0.09589293011851246,11.0,4.0,16.0,0,512,60.0,0,13.3,0.15365807786345684,0
0.1819983653453208,11.0,4.0,16.0,0,512,60.0,0,14.0,0.1254466804589054,0
0.09924397221087046,11.0,4.0,8.0,0,256,60.0,1,14.0,0.1254466804589054,0
0.09591336330200245,11.0,4.0,16.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.129995913363302,11.0,4.0,8.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.10414793624846751,11.0,4.0,16.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.06299550469963221,11.0,4.0,8.0,0,256,60.0,0,15.6,0.1254466804589054,0
0.008377605230894973,4.0,4.0,4.0,0,64,60.0,0,11.6,0.0,0
0.09102983244789538,6.0,4.0,8.0,0,256,60.0,1,13.3,0.1254466804589054,0
0.025991009399264405,11.0,4.0,4.0,0,256,60.0,0,15.6,0.1254466804589054,0
0.05010216591744994,11.0,4.0,8.0,0,512,60.0,0,14.0,0.1254466804589054,0
0.10621168778095627,11.0,4.0,16.0,0,1000,60.0,0,15.6,0.1254466804589054,0
0.10615038823048631,11.0,4.0,16.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.16009399264405394,11.0,4.0,16.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.1489579076420106,11.0,4.0,16.0,0,1000,60.0,0,13.3,0.1254466804589054,0
0.031038005721291378,11.0,4.0,8.0,0,256,60.0,0,15.6,0.1254466804589054,0
0.25984879444217407,11.0,4.0,32.0,0,1000,60.0,0,14.0,0.1254466804589054,0
0.10096035962402942,11.0,4.0,8.0,0,256,60.0,1,14.0,0.1254466804589054,0
0.15643645279934615,11.0,4.0,16.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.1036779730281978,11.0,4.0,8.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.08968124233755619,11.0,4.0,8.0,0,256,60.0,0,14.0,0.1254466804589054,0
0.01454842664487127,4.0,4.0,8.0,0,256,60.0,0,15.6,0.1254466804589054,0
0.12170004086636697,11.0,4.0,8.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.11763383735185942,11.0,4.0,8.0,0,512,60.0,0,14.0,0.1254466804589054,0
0.11836943195749898,11.0,4.0,16.0,0,512,60.0,0,14.0,0.1254466804589054,0
0.1631589701675521,11.0,4.0,16.0,0,512,60.0,1,14.0,0.1254466804589054,0
0.10220678381691868,11.0,4.0,8.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.11307723743359216,11.0,4.0,16.0,0,512,60.0,0,14.0,0.1254466804589054,0
0.11078872088271352,11.0,4.0,16.0,0,512,60.0,0,14.0,0.1254466804589054,0
0.08998774008990601,11.0,4.0,8.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.1163261136085002,11.0,4.0,16.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.11812423375561913,11.0,4.0,16.0,0,512,60.0,1,14.0,0.1254466804589054,0
0.13804658765835717,4.0,4.0,8.0,0,512,60.0,0,15.6,0.1254466804589054,0
0.0364936657131181,2.0,4.0,8.0,0,256,60.0,0,15.6,0.1254466804589054,0
0.10155292194523907,11.0,4.0,8.0,0,256,60.0,0,14.0,0.1254466804589054,0
0.14795668165100123,11.0,4.0,16.0,0,1000,60.0,0,15.6,0.1254466804589054,0
0.1728238659583163,11.0,4.0,16.0,0,512,60.0,0,13.3,0.1254466804589054,0
0.0976501838986514,11.0,4.0,8.0,0,256,60.0,0,15.6,0.1254466804589054,0
