Brand,Zap Enter Date,Gaming Compability,Operating System,Two in One,Weight,Series,CPU type,RAM Capacity,CPU speed,CPU modal,CPU generation,Hard drive capacity,Hard drive Type,Optical Drive,Screen Size,Screen Resolution,Screen Type,FPS,Touch Screen,GPU,Web camera,Secutiry,Connectors,Wifi modal,Cellular modem,Min price,Max price,Page number,Memory type
Lenovo,2020,לא רלוונטי,Windows  10,ללא,"1.69 ק""ג",ThinkPad,Intel Core i5,16 GB,1600Mhz,10210U,דור 10,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Intel HD Graphics 620,כולל,קורא טביעות אצבע,"RJ-45 , USB-C , HDMI , USB",כולל,לא כולל,"3,390","3,790",66.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.76 ק""ג",לא רלוונטי,Intel Core i5,8 GB,1600Mhz,8265U,דור 8,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics 620,1 מגה פיקסל,קורא טביעות אצבע,"VGA , RJ-45 , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,390","2,510",66.0,DDR4
Lenovo,2021,לא רלוונטי,Windows  10,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,290","2,290",66.0,DDR4
Huawei,מ 2022,לא רלוונטי,Windows  10,ללא,"1.43 ק""ג",Matebook 14s,Intel Core i7,16 GB,3300Mhz,11370H,דור 11,1000 GB,SSD,לא כולל,14.2 אינטש,2520x1680,LCD,90 Hz,ללא,Intel Iris Xe Graphics,כולל,קורא טביעות אצבע,"Thunderbolt , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,לא כולל,"6,799","6,999",66.0,DDR4
Dell,2021,לא רלוונטי,ללא,ללא,"2.57 ק""ג",G15,Intel Core i7,16 GB,2300MHz,11800H,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,165 Hz,ללא,NVIDIA GeForce RTX 3060,1 מגה פיקסל,לא כולל,"RJ-45 , Bluetooth , USB",WiFi 6,לא כולל,"5,499","6,649",66.0,DDR4
Asus,מ 2022,,Windows  10,ללא,"2.6 ק""ג",TUF Gaming F17,Intel Core i7,16 GB,2300MHz,11800H,דור 11,512 GB,SSD,לא כולל,17.3 אינטש,1920x1080,LCD,,ללא,NVIDIA GeForce RTX 3050 Ti,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"5,408","5,431",66.0,DDR4
Dell,2021,לא רלוונטי,ללא,ללא,"1.78 ק""ג",Vostro,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , Card Reader , HDMI , Bluetooth , USB",כולל,לא כולל,"2,512","3,244",66.0,DDR4
Lenovo,2021,לא רלוונטי,Windows 11 Home,ללא,"2.2 ק""ג",IdeaPad L3,Intel Core i7,8 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","802.11ac , 802.11ax",לא כולל,"3,434","3,585",66.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.35 ק""ג",VivoBook 14,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,539","2,540",66.0,DDR4
Dell,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.59 ק""ג",Vostro 3400,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , HDMI , Bluetooth , USB",802.11ac,לא כולל,"3,348","3,390",66.0,DDR4
