Brand,Zap Enter Date,Gaming Compability,Operating System,Two in One,Weight,Series,CPU type,RAM Capacity,CPU speed,CPU modal,CPU generation,Hard drive capacity,Hard drive Type,Optical Drive,Screen Size,Screen Resolution,Screen Type,FPS,Touch Screen,GPU,Web camera,Secutiry,Connectors,Wifi modal,Cellular modem,Min price,Max price,Page number,Memory type
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.85 ק""ג",V14 ADA,AMD,4 GB,,3020e,,256 GB,SSD,לא כולל,15.6 אינטש,1366x768,LCD,60 Hz,ללא,Integrated AMD Radeon Graphics,,לא כולל,"Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,970,"1,970",1.0,DDR4
Lenovo,מ 2022,לא רלוונטי,ללא,ללא,"1.7 ק""ג",ThinkBook 15 G2,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,,LCD,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , DisplayPort , Thunderbolt , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,849","3,820",1.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.8 ק""ג",לא רלוונטי,Intel Core i3,16 GB,3000Mhz,1115G4,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,Intel Iris Xe Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,599","2,263",1.0,DDR4
Lenovo,2020,לא רלוונטי,ללא,ללא,"1.6 ק""ג",לא רלוונטי,AMD,4 GB,1200Mhz,3020e,,256 GB,SSD,לא כולל,14 אינטש,1366x768,LCD,60 Hz,ללא,Integrated AMD Radeon Graphics,כולל,לא כולל,"Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,815,"1,710",1.0,DDR4
Lenovo,מ 2022,לא רלוונטי,Windows 11 Home,מסך מסתובב,"1.5 ק""ג",IdeaPad Flex 5,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,699","3,519",1.0,DDR4
Asus,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.2 ק""ג",לא רלוונטי,Intel Celeron,4 GB,1100Mhz,N3350,דור 3,64 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,ללא,,כולל,,"Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,865,"1,290",1.0,DDR3
Dell,מ 2022,לא רלוונטי,ללא,ללא,"1.69 ק""ג",Vostro 3510,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,,לא כולל,"RJ-45 , אוזניות/מיקרופון , HDMI , Bluetooth , USB",כולל,לא כולל,"1,898","2,319",1.0,DDR4
HP,2021,לא רלוונטי,ללא,ללא,"1.74 ק""ג",לא רלוונטי,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"1,634","1,999",1.0,DDR4
Lenovo,מ 2022,לא רלוונטי,ללא,ללא,"1.7 ק""ג",ThinkBook 15 G2,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,505","3,090",1.0,DDR4
Asus,מ 2022,לא רלוונטי,ללא,ללא,"1.4 ק""ג",VivoBook 14,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,199","2,591",1.0,DDR4
Asus,2021,לא רלוונטי,Windows  10,ללא,"0.81 ק""ג",לא רלוונטי,Intel Celeron,4 GB,1100Mhz,N4020,דור 4,64 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,ללא,Intel UHD Graphics 600,כולל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,799,985,1.0,DDR4
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.64 ק""ג",ThinkPad E14,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,447","2,889",1.0,DDR4
HP,2021,לא רלוונטי,ללא,ללא,"1.74 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,Bluetooth,"WiFi 6 , 802.11ax",לא כולל,"2,284","3,100",1.0,DDR4
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.64 ק""ג",ThinkPad E14,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,395","4,290",1.0,DDR4
Asus,מ 2022,לא רלוונטי,Windows 11 Home,ללא,"1.8 ק""ג",VivoBook 15,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,OLED,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,590","4,240",1.0,DDR4
Dell,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.4 ק""ג",Latitude 5420,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,,,"RJ-45 , DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,680","5,000",1.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.8 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,047","2,529",1.0,DDR4
Dell,2021,לא רלוונטי,Windows 11 Home,ללא,"1.73 ק""ג",Inspiron 3511,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , USB",,לא כולל,"3,937","4,290",2.0,DDR4
Dell,2021,לא רלוונטי,ללא,ללא,"1.73 ק""ג",Inspiron 3511,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,787","3,298",2.0,DDR4
Lenovo,מ 2022,לא רלוונטי,Windows 11 Home,מסך מסתובב,"1.8 ק""ג",IdeaPad Flex 5,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,506","4,208",2.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i3,8 GB,2100Mhz,10110U,דור 10,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel HD Graphics 520,כולל,לא כולל,"Bluetooth , USB",802.11ac,לא כולל,"1,425","1,900",2.0,DDR4
Asus,2021,לא רלוונטי,ChromeOS,ללא,"1 ק""ג",לא רלוונטי,Intel Celeron,4 GB,1100Mhz,N4020,דור 4,32 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,כולל,Intel UHD Graphics 600,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,278","1,685",2.0,DDR4
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.7 ק""ג",ThinkBook 15,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,090","3,990",2.0,DDR4
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.9 ק""ג",ThinkPad E15,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,897","3,490",2.0,DDR4
Dell,מ 2022,לא רלוונטי,ללא,ללא,"1.69 ק""ג",Vostro 3510,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , Bluetooth , USB",כולל,לא כולל,"2,562","2,999",2.0,DDR4
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i5,8 GB,3600Mhz,1035G1,דור 10,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,993","2,929",2.0,DDR4
Asus,מ 2022,לא רלוונטי,Windows 11 Home,ללא,"1.17 ק""ג",ZenBook 14,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,כולל,מצלמת IR,"Thunderbolt , Card Reader , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,338","3,818",2.0,DDR4
Lenovo,מ 2022,לא רלוונטי,Windows 11 Home,מסך מסתובב,"1.5 ק""ג",IdeaPad Flex 5,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,164","3,590",2.0,DDR4
Asus,מ 2022,לא רלוונטי,Windows 11 Home,מסך מסתובב,"1.4 ק""ג",ZenBook 14 Flip,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"5,869","6,690",2.0,DDR4
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,200","2,573",2.0,DDR4
Asus,מ 2022,לא רלוונטי,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i3,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,629","1,990",2.0,DDR4
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,029","2,429",2.0,DDR4
Asus,מ 2022,לא רלוונטי,Windows 11 Home,ללא,"1.17 ק""ג",ZenBook 14,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,כולל,מצלמת IR,"Thunderbolt , Card Reader , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,641","4,490",2.0,DDR4
Dell,מ 2022,לא רלוונטי,Windows 11 Home,ללא,"1.63 ק""ג",Inspiron 5510,Intel Core i5,8 GB,3100Mhz,11300H,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,076","3,790",2.0,DDR4
HP,2021,לא רלוונטי,Windows  10,ללא,"1.75 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,NVIDIA GeForce MX350,כולל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,לא כולל,"2,979","3,605",2.0,DDR4
Dell,2021,לא רלוונטי,Windows 11 Home,ללא,"1.63 ק""ג",Vostro 5510,Intel Core i7,16 GB,3300Mhz,11370H,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,889","4,949",2.0,DDR4
Lenovo,2021,לא רלוונטי,Windows 11 Home,ללא,"1.65 ק""ג",IdeaPad 3,AMD Ryzen 3,8 GB,2600Mhz,5300U,דור 4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated AMD Radeon Graphics,1 מגה פיקסל,מצלמת IR,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"1,890","2,500",2.0,DDR4
Lenovo,2020,לא רלוונטי,ללא,ללא,"1.59 ק""ג",,Intel Core i3,8 GB,1200Mhz,1005G1,דור 10,256 GB,SSD,לא כולל,14 אינטש,1920x1080,,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"HDMI , USB",כולל,לא כולל,"1,452","1,990",2.0,DDR4
Dell,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.78 ק""ג",Latitude 3520,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , DisplayPort , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,387","4,120",2.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.8 ק""ג",לא רלוונטי,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,685","2,280",2.0,DDR4
Asus,2021,לא רלוונטי,Windows 11 Home,ללא,"1.45 ק""ג",לא רלוונטי,AMD Ryzen 7,8 GB,3200MHz,5800H,דור 4,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,AMD Radeon  Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,390","4,690",3.0,DDR4
HP,2021,לא רלוונטי,ללא,ללא,"1.69 ק""ג",לא רלוונטי,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,לא כולל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"1,799","2,308",3.0,DDR4
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.39 ק""ג",ThinkPad L13,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,13.3 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,598","4,685",3.0,DDR4
Asus,2021,לא רלוונטי,ChromeOS,ללא,"0.99 ק""ג",לא רלוונטי,Intel Celeron,4 GB,1100Mhz,N3350,דור 3,32 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,ללא,Intel HD Graphics 500,1 מגה פיקסל,לא כולל,"Card Reader , USB-C , Bluetooth , USB",802.11ac,לא כולל,823,959,3.0,DDR4
HP,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.74 ק""ג",לא רלוונטי,Intel Core i7,8 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,098","3,868",3.0,DDR4
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.64 ק""ג",ThinkPad E14,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,801","3,714",3.0,DDR4
Asus,מ 2022,לא רלוונטי,Windows  10,מסך מסתובב,"1.4 ק""ג",ZenBook 14 Flip,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,2880X1800,LCD,60 Hz,כולל,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"4,948","5,499",3.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,082","2,590",3.0,DDR4
Lenovo,2021,לא רלוונטי,Windows  10,ללא,"1.39 ק""ג",IdeaPad 5,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"1,889","2,579",3.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i7,8 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,790","3,219",3.0,DDR4
Lenovo,מ 2022,לא רלוונטי,Windows 10 PRO,ללא,"1.4 ק""ג",ThinkBook 14,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,083","3,499",3.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,148","3,090",3.0,DDR4
HP,2021,לא רלוונטי,Windows  10,ללא,"1.41 ק""ג",Pavilion,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Intel Iris Xe Graphics,כולל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","802.11b , 802.11a , 802.11g , 802.11n , 802.11ac",לא כולל,"2,980","3,445",3.0,DDR4
Dell,2021,לא רלוונטי,Windows 11 Home,ללא,"1.73 ק""ג",Inspiron 3511,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"אוזניות/מיקרופון , HDMI , USB",,לא כולל,"3,199","4,249",3.0,DDR4
Asus,מ 2022,לא רלוונטי,Windows 11 Home,ללא,"1.45 ק""ג",VivoBook Pro,Intel Core i7,16 GB,3300Mhz,11370H,דור 11,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,NVIDIA GeForce RTX 3050,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,לא כולל,"5,225","6,059",3.0,DDR4
Asus,מ 2022,לא רלוונטי,Windows 11 Home,ללא,"1.8 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,OLED,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,769","3,590",3.0,DDR4
Asus,מ 2022,לא רלוונטי,Windows  10,,"2.0 ק""ג",ZenBook Pro 15,Intel Core i7,16 GB,2200Mhz,10870H,דור 10,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,כולל,NVIDIA GeForce GTX 1650Ti,כולל,מצלמת IR,"Thunderbolt , Card Reader , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"5,386","6,151",3.0,DDR4
HP,2021,לא רלוונטי,ללא,ללא,"1.46 ק""ג",לא רלוונטי,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"1,731","2,038",3.0,DDR4
Asus,2021,לא רלוונטי,Windows 11 Home,ללא,"1.45 ק""ג",לא רלוונטי,AMD Ryzen 7,8 GB,3200MHz,5800H,דור 4,512 GB,SSD,לא כולל,14 אינטש,2880X1800,LCD,60 Hz,ללא,AMD Radeon  Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,לא כולל,"3,498","4,690",3.0,DDR4
HP,2021,לא רלוונטי,ללא,ללא,"1.74 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"2,362","2,850",3.0,DDR4
Lenovo,מ 2022,לא רלוונטי,ללא,ללא,"1.6 ק""ג",V14 G2,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,001","2,149",3.0,DDR4
Dell,מ 2022,לא רלוונטי,Windows 11 Home,ללא,"1.63 ק""ג",Inspiron 5510,Intel Core i7,16 GB,3300Mhz,11370H,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,NVIDIA GeForce MX450,1 מגה פיקסל,לא כולל,"DisplayPort , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"4,357","5,490",3.0,DDR4
Dell,2021,לא רלוונטי,Windows 11 Home,ללא,"1.73 ק""ג",Inspiron 3511,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"אוזניות/מיקרופון , HDMI , USB",,לא כולל,"2,799","3,240",3.0,DDR4
Dell,2021,לא רלוונטי,Windows 11 Home,ללא,"1.73 ק""ג",Inspiron 3511,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"אוזניות/מיקרופון , HDMI , USB",,לא כולל,"2,149","2,534",4.0,DDR4
